ztop,Age,Deuterium,dT
6.6,38.37379,-390.9,0.88
7.15,46.81203,-385.1,1.84
7.7,55.05624,-377.8,3.04
8.25,64.41511,-394.1,0.35
8.8,73.15077,-398.7,-0.42
9.35,81.93244,-395.9,0.05
9.9,90.75925,-395.9,0.05
10.45,99.97031,-399.3,-0.52
11,109.88879,-391.4,0.79
11.55,119.25888,-399.5,-0.55
12.1,129.40378,-402.9,-1.11
12.65,139.93889,-393.9,0.38
13.2,150.10205,-398.6,-0.4
13.75,160.58005,-389.8,1.05
14.3,171.01834,-394.5,0.28
14.85,181.44466,-400.5,-0.72
15.4,191.48283,-403.6,-1.23
15.95,201.87233,-393.1,0.51
16.5,212.18626,-410.9,-2.44
17.05,223.16292,-393.6,0.42
17.6,233.73909,-391.1,0.84
18.15,244.64073,-391.9,0.71
18.7,255.49973,-396.3,-0.02
19.25,266.61209,-397,-0.14
19.8,277.77097,-404.7,-1.41
20.35,289.25006,-398.2,-0.34
20.9,301.04303,-395.2,0.16
21.45,312.44177,-403.5,-1.22
22,323.85452,-398.6,-0.41
22.55,335.57825,-399.7,-0.59
23.1,346.88129,-396,0.03
23.65,358.50821,-400.2,-0.67
24.2,370.90112,-401.6,-0.9
24.75,382.87436,-405.4,-1.53
25.3,395.18558,-399,-0.47
25.85,407.46558,-396.9,-0.12
26.4,418.75491,-394.9,0.21
26.95,430.39774,-406.6,-1.73
27.5,442.40918,-395.2,0.16
28.05,454.09915,-395.3,0.14
28.6,466.12518,-399.5,-0.56
29.15,478.21433,-401,-0.8
29.7,490.39719,-393.6,0.42
30.25,503.05731,-410.4,-2.36
30.8,515.651,-401.3,-0.85
31.35,528.76422,-398.3,-0.36
31.9,541.60858,-388.5,1.26
32.45,554.93121,-391.9,0.7
33,567.75421,-400.8,-0.77
33.55,580.59985,-387.7,1.4
34.1,593.51135,-401.4,-0.87
34.65,606.47388,-401,-0.81
35.2,619.46606,-387.3,1.46
35.75,632.04871,-390.2,0.98
36.3,644.98712,-394.5,0.27
36.85,658.25757,-401.9,-0.96
37.4,672.12836,-399.8,-0.61
37.95,686.65106,-399.9,-0.63
38.5,700.67932,-399.1,-0.49
39.05,715.02704,-401.9,-0.96
39.6,729.27771,-404.8,-1.44
40.15,744.23865,-401.6,-0.91
40.7,758.74341,-396.7,-0.1
41.25,772.40747,-397.1,-0.16
